amenity,name,cuisine,longitude,latitude
bar,Bogotá Beer Company Bodega,N/A,-74.0749,4.6296
bar,Villa Tranvia,N/A,-74.0691,4.6004
bar,Super Chicha,N/A,-74.0695,4.5981
bar,Bodega 15/08/17,N/A,-74.0736,4.5952
bar,N/A,N/A,-74.0674,4.6596
bar,N/A,N/A,-74.0741,4.6304
bar,N/A,N/A,-74.0589,4.6559
bar,Arsenal Colombia,N/A,-74.0691,4.6506
bar,Bogota Beer Company La Bodega,N/A,-74.0666,4.6586
bar,N/A,N/A,-74.0635,4.6509
bar,N/A,N/A,-74.0597,4.6563
bar,Mitho Cafe,N/A,-74.0694,4.5991
bar,The Doors,N/A,-74.0698,4.6006
bar,Tranvia Galeria,N/A,-74.0691,4.6004
bar,N/A,N/A,-74.0688,4.599
bar,N/A,N/A,-74.0694,4.5988
bar,Mi Nueva Milan,N/A,-74.0717,4.6334
bar,Bar La Playita,N/A,-74.0221,4.737
bar,The Bar,N/A,-74.0372,4.7627
bar,Bolirana Bar,N/A,-74.0371,4.7621
bar,Cigarrería Bar Especial Express,N/A,-74.0465,4.745
bar,Disco Jaguar,N/A,-74.0613,4.6446
bar,Lexus,N/A,-74.0637,4.6512
bar,Le Monde,N/A,-74.0607,4.6608
bar,N/A,N/A,-74.0701,4.628
bar,BBC,N/A,-74.0605,4.6606
bar,El Bembe Salsa Revolucion,N/A,-74.0688,4.6142
bar,Nick Havana,N/A,-74.0483,4.7015
bar,Bar Pikikos,N/A,-74.0905,4.6788
bar,MORRIS,N/A,-74.1263,4.5834
bar,GLOBELL,N/A,-74.1263,4.5834
bar,WANDS,N/A,-74.1263,4.5834
bar,Matias Bar,N/A,-74.0916,4.6845
bar,Black maria,N/A,-74.0693,4.6327
bar,N/A,N/A,-74.1145,4.619
bar,Tr3s Copas,N/A,-74.0307,4.7246
bar,FDS,N/A,-74.1657,4.6341
bar,La Tienda,N/A,-74.1252,4.7194
bar,N/A,N/A,-74.103,4.7404
bar,N/A,N/A,-74.1027,4.7403
bar,N/A,N/A,-74.1028,4.7399
bar,la frontera,N/A,-74.1097,4.6136
bar,N/A,N/A,-74.1035,4.74
bar,Bar la esquina,N/A,-74.1935,4.6053
bar,cigarreria tovar,N/A,-74.1212,4.5995
bar,Donde fabi,N/A,-74.1241,4.5971
bar,Bar,N/A,-74.1938,4.6062
bar,pizza bar,N/A,-74.0728,4.6314
bar,Musa Bar,N/A,-74.0722,4.6332
bar,ROCKOLA AND DRAFT,N/A,-74.0738,4.6335
bar,Bar Corporación,N/A,-74.0786,4.6706
bar,La Estacion,N/A,-74.0776,4.6668
bar,Corona,N/A,-74.0553,4.6704
bar,Bogotá Beer Company,N/A,-74.0952,4.6724
bar,Bar Sebas,N/A,-74.0956,4.6777
bar,Beer Master Bar,N/A,-74.0985,4.6753
bar,Maracana Bar,N/A,-74.0969,4.6761
bar,Bar La Negra,N/A,-74.0682,4.6697
bar,Bar Rackela Eden Hall,N/A,-74.0683,4.67
bar,Bar Juank,N/A,-74.1174,4.6906
bar,Pcaific Club CAV,N/A,-74.0695,4.7185
bar,Vlady Karaoke Bar,N/A,-74.1062,4.6704
bar,Bavara Café y Bar,N/A,-74.0823,4.6307
bar,La Jungla,N/A,-74.0562,4.7158
bar,La Chuchis,N/A,-74.1128,4.697
bar,Zarek Cigarrería Bar,N/A,-74.0926,4.7037
bar,El Sabor de mi Pueblo,N/A,-74.0738,4.6598
bar,Los Pinos D'J,N/A,-74.0293,4.7399
bar,Blue Label Bar,N/A,-74.0966,4.6889
bar,La Barca VIP,N/A,-74.0967,4.6888
bar,Manaos,N/A,-74.0967,4.6889
bar,San Alejo Viejoteca,N/A,-74.0975,4.6894
bar,Mora Mora,N/A,-74.0976,4.6895
bar,Océanos,N/A,-74.0994,4.691
bar,Tattos Bar,N/A,-74.0996,4.6911
bar,Bogotá Billares,N/A,-74.101,4.6923
bar,La Columna Bar,N/A,-74.1038,4.6978
bar,El Rincon Guavateño,N/A,-74.0945,4.6968
bar,Bar la Clave 75,N/A,-74.1001,4.6964
bar,la Bonita,N/A,-74.0979,4.6985
bar,Tropezon Bar,N/A,-74.0988,4.6973
bar,Bogota Beer Company,N/A,-74.0692,4.698
bar,Bar la Amistad,N/A,-74.1001,4.7089
bar,Pool Bar,N/A,-74.0448,4.7313
bar,Club de Billares Bumangues,N/A,-74.0561,4.7152
bar,Bar Ruta 128,N/A,-74.0542,4.7141
bar,Contreras,N/A,-74.1572,4.6961
bar,Donde Daniel,N/A,-74.1067,4.7047
bar,Bar Punto Rojo,N/A,-74.1149,4.6953
bar,Video Bar Donde Liz,N/A,-74.1041,4.6891
bar,Camaleón,N/A,-74.1024,4.6913
bar,N/A,N/A,-74.0994,4.6845
bar,El Soler,N/A,-74.0276,4.7648
bar,El Campin,N/A,-74.0646,4.6469
bar,Abbot Rock Bar,N/A,-74.0636,4.6522
bar,Bar La 15,N/A,-74.0659,4.6497
bar,Taberna Bar Nico,N/A,-74.0641,4.6489
bar,La Vecy,N/A,-74.0631,4.6447
bar,La Esquina Bar,N/A,-74.0625,4.6454
bar,La Jungla,N/A,-74.0809,4.6781
bar,El Taller,N/A,-74.0626,4.6461
bar,Terraza 60,N/A,-74.0629,4.6462
bar,Tri3ar,N/A,-74.0633,4.6464
bar,Bar y Licores,N/A,-74.0682,4.6223
bar,Inferno Bar,N/A,-74.0683,4.6217
bar,Pinarin jardin pedagogico imelda directora,N/A,-74.0843,4.7495
bar,Ibiza,N/A,-74.126,4.6966
bar,Cafeteria Bar,N/A,-74.0765,4.6435
bar,Bar Angy,N/A,-74.1246,4.7009
bar,Taberna Bar los Caballitos,N/A,-74.1321,4.7007
bar,Atelier,N/A,-74.1172,4.7042
bar,Sheriff Taberna,N/A,-74.1171,4.7041
bar,Blue Bay,N/A,-74.116,4.7031
bar,Cafe Parrilla Bar,N/A,-74.1155,4.7027
bar,Aguaymant,N/A,-74.1156,4.7028
bar,Disco Bar,N/A,-74.1153,4.7026
bar,Kaluha Bar,N/A,-74.1151,4.7023
bar,Barrockola V8,N/A,-74.1148,4.7021
bar,Tercer Tiempo,N/A,-74.1166,4.7022
bar,Villas Bar,N/A,-74.1211,4.7194
bar,La Nevade Sabanera,N/A,-74.1182,4.7163
bar,La Cava,N/A,-74.1232,4.7188
bar,Hogar wiliam,N/A,-74.0862,4.7236
